mof_name,temperature,pressure,h2_fraction,ch4_fraction,num_atoms,h2_molecules,ch4_molecules,total_molecules,selectivity,framework_density_g_cm3,accessible_surface_area_m2_g,void_fraction,accessible_volume_cm3_g,largest_included_sphere_diameter_angstrom,largest_free_sphere_diameter_angstrom,pore_limiting_diameter_angstrom
MOF_0033,298,60,0.98,0.02,368,50,14,64,0.0728862973760933,0.833055,2426.25,0.28386,0.340738,8.31691,5.98646,8.3025
MOF_0033,298,50,0.9,0.1,368,51,15,66,0.3777777777777777,0.833055,2426.25,0.28386,0.340738,8.31691,5.98646,8.3025
MOF_0033,298,35,0.75,0.25,368,47,17,64,0.9215686274509804,0.833055,2426.25,0.28386,0.340738,8.31691,5.98646,8.3025
MOF_0033,298,25,0.65,0.35,368,48,16,64,1.6153846153846154,0.833055,2426.25,0.28386,0.340738,8.31691,5.98646,8.3025
MOF_0108,298,60,0.98,0.02,52,12,2,14,0.1224489795918367,1.134025,2736.56,0.18136,0.159917,4.86043,4.2216,4.86043
MOF_0108,298,50,0.9,0.1,52,11,2,13,0.6111111111111112,1.134025,2736.56,0.18136,0.159917,4.86043,4.2216,4.86043
MOF_0108,298,35,0.75,0.25,52,11,2,13,1.8333333333333333,1.134025,2736.56,0.18136,0.159917,4.86043,4.2216,4.86043
MOF_0108,298,25,0.65,0.35,52,11,2,13,2.961538461538461,1.134025,2736.56,0.18136,0.159917,4.86043,4.2216,4.86043
MOF_0115,298,60,0.98,0.02,64,26,5,31,0.1061224489795918,0.837932,3766.98,0.32308,0.385552,6.10528,5.07966,6.09859
MOF_0115,298,50,0.9,0.1,64,28,6,34,0.5185185185185186,0.837932,3766.98,0.32308,0.385552,6.10528,5.07966,6.09859
MOF_0115,298,35,0.75,0.25,64,27,6,33,1.5,0.837932,3766.98,0.32308,0.385552,6.10528,5.07966,6.09859
MOF_0115,298,25,0.65,0.35,64,23,7,30,1.7692307692307692,0.837932,3766.98,0.32308,0.385552,6.10528,5.07966,6.09859
MOF_0142,298,60,0.98,0.02,536,92,37,129,0.0507446221731936,0.634587,4041.72,0.38212,0.602156,8.9955,7.6172,8.9955
MOF_0142,298,50,0.9,0.1,536,94,35,129,0.2984126984126984,0.634587,4041.72,0.38212,0.602156,8.9955,7.6172,8.9955
MOF_0142,298,35,0.75,0.25,536,93,37,130,0.8378378378378378,0.634587,4041.72,0.38212,0.602156,8.9955,7.6172,8.9955
MOF_0142,298,25,0.65,0.35,536,93,37,130,1.3534303534303531,0.634587,4041.72,0.38212,0.602156,8.9955,7.6172,8.9955
MOF_0177,298,60,0.98,0.02,384,55,26,81,0.043171114599686,0.965753,2729.95,0.27266,0.282314,7.81562,5.42195,7.80607
MOF_0177,298,50,0.9,0.1,384,57,27,84,0.2345679012345679,0.965753,2729.95,0.27266,0.282314,7.81562,5.42195,7.80607
MOF_0177,298,35,0.75,0.25,384,56,29,85,0.6436781609195402,0.965753,2729.95,0.27266,0.282314,7.81562,5.42195,7.80607
MOF_0177,298,25,0.65,0.35,384,57,27,84,1.1367521367521367,0.965753,2729.95,0.27266,0.282314,7.81562,5.42195,7.80607
MOF_0199,298,60,0.98,0.02,312,28,11,39,0.0519480519480519,1.085773,1074.59,0.20214,0.186167,9.20401,8.7686,9.17427
MOF_0199,298,50,0.9,0.1,312,26,13,39,0.2222222222222222,1.085773,1074.59,0.20214,0.186167,9.20401,8.7686,9.17427
MOF_0199,298,35,0.75,0.25,312,25,13,38,0.641025641025641,1.085773,1074.59,0.20214,0.186167,9.20401,8.7686,9.17427
MOF_0199,298,25,0.65,0.35,312,23,14,37,0.8846153846153846,1.085773,1074.59,0.20214,0.186167,9.20401,8.7686,9.17427
MOF_0221,298,60,0.98,0.02,136,15,3,18,0.1020408163265306,1.437041,1155.31,0.08102,0.056377,4.70973,3.97539,4.70747
MOF_0221,298,50,0.9,0.1,136,15,3,18,0.5555555555555556,1.437041,1155.31,0.08102,0.056377,4.70973,3.97539,4.70747
MOF_0221,298,35,0.75,0.25,136,15,3,18,1.6666666666666663,1.437041,1155.31,0.08102,0.056377,4.70973,3.97539,4.70747
MOF_0221,298,25,0.65,0.35,136,12,3,15,2.1538461538461537,1.437041,1155.31,0.08102,0.056377,4.70973,3.97539,4.70747
MOF_0222,298,60,0.98,0.02,144,19,9,28,0.0430839002267573,1.210332,1681.33,0.23368,0.193071,7.194,7.0599,7.194
MOF_0222,298,50,0.9,0.1,144,19,9,28,0.2345679012345679,1.210332,1681.33,0.23368,0.193071,7.194,7.0599,7.194
MOF_0222,298,35,0.75,0.25,144,20,9,29,0.7407407407407407,1.210332,1681.33,0.23368,0.193071,7.194,7.0599,7.194
MOF_0222,298,25,0.65,0.35,144,20,9,29,1.1965811965811963,1.210332,1681.33,0.23368,0.193071,7.194,7.0599,7.194
MOF_0237,298,60,0.98,0.02,540,47,15,62,0.0639455782312925,1.134144,1761.67,0.16308,0.143791,7.94208,4.72487,7.9272
MOF_0237,298,50,0.9,0.1,540,48,15,63,0.3555555555555556,1.134144,1761.67,0.16308,0.143791,7.94208,4.72487,7.9272
MOF_0237,298,35,0.75,0.25,540,44,18,62,0.8148148148148149,1.134144,1761.67,0.16308,0.143791,7.94208,4.72487,7.9272
MOF_0237,298,25,0.65,0.35,540,43,16,59,1.4471153846153846,1.134144,1761.67,0.16308,0.143791,7.94208,4.72487,7.9272
MOF_0241,298,60,0.98,0.02,188,27,5,32,0.110204081632653,0.95212,1974.62,0.21752,0.228454,7.757,6.37092,7.73363
MOF_0241,298,50,0.9,0.1,188,28,5,33,0.6222222222222222,0.95212,1974.62,0.21752,0.228454,7.757,6.37092,7.73363
MOF_0241,298,35,0.75,0.25,188,28,5,33,1.8666666666666665,0.95212,1974.62,0.21752,0.228454,7.757,6.37092,7.73363
MOF_0241,298,25,0.65,0.35,188,27,6,33,2.423076923076923,0.95212,1974.62,0.21752,0.228454,7.757,6.37092,7.73363
MOF_0256,298,60,0.98,0.02,124,15,5,20,0.0612244897959183,1.047565,2533.15,0.15788,0.150707,5.15766,4.14913,5.13354
MOF_0256,298,50,0.9,0.1,124,16,4,20,0.4444444444444445,1.047565,2533.15,0.15788,0.150707,5.15766,4.14913,5.13354
MOF_0256,298,35,0.75,0.25,124,17,4,21,1.4166666666666663,1.047565,2533.15,0.15788,0.150707,5.15766,4.14913,5.13354
MOF_0256,298,25,0.65,0.35,124,17,4,21,2.2884615384615383,1.047565,2533.15,0.15788,0.150707,5.15766,4.14913,5.13354
MOF_0289,298,60,0.98,0.02,424,149,79,228,0.0384913459054507,0.471215,4284.18,0.60988,1.29427,14.38001,8.31346,14.3648
MOF_0289,298,50,0.9,0.1,424,153,79,232,0.2151898734177215,0.471215,4284.18,0.60988,1.29427,14.38001,8.31346,14.3648
MOF_0289,298,35,0.75,0.25,424,144,80,224,0.6,0.471215,4284.18,0.60988,1.29427,14.38001,8.31346,14.3648
MOF_0289,298,25,0.65,0.35,424,141,83,224,0.9147358665430956,0.471215,4284.18,0.60988,1.29427,14.38001,8.31346,14.3648
MOF_0293,298,60,0.98,0.02,200,43,15,58,0.0585034013605442,1.087496,1752.98,0.31434,0.289033,9.27985,8.95188,9.27985
MOF_0293,298,50,0.9,0.1,200,45,15,60,0.3333333333333333,1.087496,1752.98,0.31434,0.289033,9.27985,8.95188,9.27985
MOF_0293,298,35,0.75,0.25,200,44,15,59,0.9777777777777776,1.087496,1752.98,0.31434,0.289033,9.27985,8.95188,9.27985
MOF_0293,298,25,0.65,0.35,200,44,15,59,1.5794871794871792,1.087496,1752.98,0.31434,0.289033,9.27985,8.95188,9.27985
MOF_0294,298,60,0.98,0.02,44,11,6,17,0.0374149659863945,1.315842,2030.27,0.277,0.210512,6.98806,6.49312,6.98806
MOF_0294,298,50,0.9,0.1,44,12,6,18,0.2222222222222222,1.315842,2030.27,0.277,0.210512,6.98806,6.49312,6.98806
MOF_0294,298,35,0.75,0.25,44,12,6,18,0.6666666666666666,1.315842,2030.27,0.277,0.210512,6.98806,6.49312,6.98806
MOF_0294,298,25,0.65,0.35,44,11,6,17,0.9871794871794872,1.315842,2030.27,0.277,0.210512,6.98806,6.49312,6.98806
MOF_0295,298,60,0.98,0.02,172,27,13,40,0.0423861852433281,1.143204,2293.77,0.22318,0.195208,6.86755,5.68818,6.49474
MOF_0295,298,50,0.9,0.1,172,28,14,42,0.2222222222222222,1.143204,2293.77,0.22318,0.195208,6.86755,5.68818,6.49474
MOF_0295,298,35,0.75,0.25,172,24,15,39,0.5333333333333333,1.143204,2293.77,0.22318,0.195208,6.86755,5.68818,6.49474
MOF_0295,298,25,0.65,0.35,172,25,14,39,0.9615384615384616,1.143204,2293.77,0.22318,0.195208,6.86755,5.68818,6.49474
MOF_0299,298,60,0.98,0.02,192,4,2,6,0.0408163265306122,1.480508,499.061,0.04776,0.032259,4.97041,4.59756,4.96557
MOF_0299,298,50,0.9,0.1,192,5,2,7,0.2777777777777778,1.480508,499.061,0.04776,0.032259,4.97041,4.59756,4.96557
MOF_0299,298,35,0.75,0.25,192,4,2,6,0.6666666666666666,1.480508,499.061,0.04776,0.032259,4.97041,4.59756,4.96557
MOF_0299,298,25,0.65,0.35,192,5,2,7,1.346153846153846,1.480508,499.061,0.04776,0.032259,4.97041,4.59756,4.96557
MOF_0353,298,60,0.98,0.02,100,11,5,16,0.0448979591836734,0.993125,2635.8,0.18962,0.190925,5.73481,5.39718,5.73481
MOF_0353,298,50,0.9,0.1,100,14,5,19,0.3111111111111111,0.993125,2635.8,0.18962,0.190925,5.73481,5.39718,5.73481
MOF_0353,298,35,0.75,0.25,100,14,5,19,0.9333333333333332,0.993125,2635.8,0.18962,0.190925,5.73481,5.39718,5.73481
MOF_0353,298,25,0.65,0.35,100,13,4,17,1.75,0.993125,2635.8,0.18962,0.190925,5.73481,5.39718,5.73481
MOF_0361,298,60,0.98,0.02,272,21,4,25,0.1071428571428571,1.210146,1396.95,0.0653,0.053958,5.03312,2.6658,5.00101
MOF_0361,298,50,0.9,0.1,272,25,3,28,0.925925925925926,1.210146,1396.95,0.0653,0.053958,5.03312,2.6658,5.00101
MOF_0361,298,35,0.75,0.25,272,23,3,26,2.555555555555556,1.210146,1396.95,0.0653,0.053958,5.03312,2.6658,5.00101
MOF_0361,298,25,0.65,0.35,272,24,3,27,4.307692307692308,1.210146,1396.95,0.0653,0.053958,5.03312,2.6658,5.00101
MOF_0362,298,60,0.98,0.02,272,38,16,54,0.048469387755102,0.935691,2761.86,0.23256,0.248531,6.28096,5.28433,5.75173
MOF_0362,298,50,0.9,0.1,272,38,16,54,0.2638888888888889,0.935691,2761.86,0.23256,0.248531,6.28096,5.28433,5.75173
MOF_0362,298,35,0.75,0.25,272,39,16,55,0.8125,0.935691,2761.86,0.23256,0.248531,6.28096,5.28433,5.75173
MOF_0362,298,25,0.65,0.35,272,37,17,54,1.171945701357466,0.935691,2761.86,0.23256,0.248531,6.28096,5.28433,5.75173
MOF_0369,298,60,0.98,0.02,536,91,38,129,0.0488721804511278,0.632102,3778.83,0.38976,0.61661,10.38616,6.44431,9.73674
MOF_0369,298,50,0.9,0.1,536,91,38,129,0.2660818713450292,0.632102,3778.83,0.38976,0.61661,10.38616,6.44431,9.73674
MOF_0369,298,35,0.75,0.25,536,91,39,130,0.7777777777777778,0.632102,3778.83,0.38976,0.61661,10.38616,6.44431,9.73674
MOF_0369,298,25,0.65,0.35,536,87,41,128,1.1425891181988743,0.632102,3778.83,0.38976,0.61661,10.38616,6.44431,9.73674
MOF_0375,298,60,0.98,0.02,52,6,1,7,0.1224489795918367,1.660611,605.732,0.02312,0.013922,3.47607,3.1628,3.47508
MOF_0375,298,50,0.9,0.1,52,6,1,7,0.6666666666666667,1.660611,605.732,0.02312,0.013922,3.47607,3.1628,3.47508
MOF_0375,298,35,0.75,0.25,52,6,1,7,2.0,1.660611,605.732,0.02312,0.013922,3.47607,3.1628,3.47508
MOF_0375,298,25,0.65,0.35,52,6,1,7,3.230769230769231,1.660611,605.732,0.02312,0.013922,3.47607,3.1628,3.47508
MOF_0376,298,60,0.98,0.02,127,28,5,33,0.1142857142857142,0.76306,2891.58,0.30064,0.393957,9.03512,4.93908,9.03512
